Open,High,Low,Close,Volume,Dividends,Stock Splits,SYMBOL,date
6456.899902,6512.299805,6402.600098,6416.700195,674073300,0,0,^FTSE,01/02/2008
6416.700195,6487.799805,6394.600098,6479.399902,932411700,0,0,^FTSE,01/03/2008
6479.399902,6534.700195,6333.200195,6348.5,1182498500,0,0,^FTSE,01/04/2008
6348.5,6376.5,6275.200195,6335.700195,1298090800,0,0,^FTSE,01/07/2008
6335.700195,6399.600098,6335.700195,6356.5,1418323100,0,0,^FTSE,01/08/2008
6356.5,6356.5,6241.799805,6272.700195,1823908900,0,0,^FTSE,01/09/2008
6272.700195,6314.5,6213,6222.700195,1561550500,0,0,^FTSE,01/10/2008
6222.700195,6251.799805,6147,6202,1584489000,0,0,^FTSE,01/11/2008
6202,6247.299805,6173,6215.700195,1141689600,0,0,^FTSE,01/14/2008
6215.700195,6215.700195,6025.600098,6025.600098,1633314500,0,0,^FTSE,01/15/2008
6025.600098,6031.5,5908.5,5942.899902,1889642300,0,0,^FTSE,01/16/2008
5942.899902,6028.399902,5895.399902,5902.399902,1696753100,0,0,^FTSE,01/17/2008
5902.399902,6030.899902,5856.799805,5901.700195,2001710300,0,0,^FTSE,01/18/2008
5901.700195,5901.700195,5571,5578.200195,2105408800,0,0,^FTSE,01/21/2008
5578.200195,5764,5338.700195,5740.100098,2146910000,0,0,^FTSE,01/22/2008
5740.100098,5844.899902,5518.299805,5609.399902,2146010500,0,0,^FTSE,01/23/2008
5609.299805,5882.299805,5609.299805,5875.799805,2129111100,0,0,^FTSE,01/24/2008
5875.799805,5973.299805,5848.5,5869,1647164500,0,0,^FTSE,01/25/2008
5869,5869,5705.100098,5788.899902,1232833300,0,0,^FTSE,01/28/2008
5788.899902,5885.200195,5788.899902,5885.200195,1144122500,0,0,^FTSE,01/29/2008
5885.200195,5885.200195,5818.600098,5837.299805,1122769500,0,0,^FTSE,01/30/2008
5837.299805,5899.5,5689.399902,5879.799805,1888867600,0,0,^FTSE,01/31/2008
5879.799805,6044.899902,5879.799805,6029.200195,1791034100,0,0,^FTSE,02/01/2008
6029.200195,6071.299805,6000.200195,6026.200195,1102822400,0,0,^FTSE,02/04/2008
6026.200195,6026.200195,5852.799805,5868,1421468900,0,0,^FTSE,02/05/2008
5868,5892.600098,5816.399902,5875.399902,1316366700,0,0,^FTSE,02/06/2008
5875.399902,5875.399902,5708.799805,5724.100098,1650915000,0,0,^FTSE,02/07/2008
